cusec,participacion,primero,primero_porc,segundo,segundo_porc,tercero,tercero_porc,cuarto,cuarto_porc,psoe_dif,pp_dif,podemos_dif,vox_dif
1003704016,75.87,PP,59.93,UxEx,13.16,PSOE,12.59,VOX,9.7,-9.61,7.82,03.03,1.14
1003704017,75.36,PP,52.59,PSOE,17.4,VOX,13.49,UxEx,12.29,-9.22,6.4,3.75,3.54
1003704018,76.67,PP,52.3,UxEx,17.47,PSOE,15.9,VOX,9,-11.79,13.35,6,-0.61
1003704019,70.64,PP,50.04,PSOE,16.79,UxEx,15.66,VOX,11.33,-11.24,9.17,4.35,2.28
1003704020,70.85,PP,52.14,VOX,16.88,UxEx,11.96,PSOE,11.96,-14.42,5.26,5.37,8.49
1003704021,73.55,PP,57.14,PSOE,15.18,VOX,12.39,UxEx,10.71,-13.2,4.62,5.9,3.92
1003704022,76.9,PP,62.43,UxEx,11.89,PSOE,10.25,VOX,9.7,-10.36,5.8,2.96,2.35
1003704023,77.72,PP,56.18,UxEx,13.54,VOX,13.54,PSOE,12.01,-10.81,5.66,5,3.96
1003704024,71.75,PP,51.21,PSOE,15.92,VOX,14.34,UxEx,12.66,-16.01,9.78,5.12,4.55
1003704025,59.87,PP,35.61,PSOE,32.47,VOX,14.39,UxEx,10.15,-10.23,6.78,4.46,5.32
1003704026,72.36,PP,46.4,UxEx,15.71,PSOE,15.23,VOX,15.11,,,,
1003705001,70.86,PP,53.96,PSOE,15.32,UxEx,13.22,VOX,12.49,-11.83,3.8,5.47,5.13
1003705002,68.54,PP,51.72,PSOE,17.59,UxEx,13.01,VOX,11.34,-9.66,6.65,4.1,4.87
1003705003,56.82,PP,40.31,PSOE,24.19,VOX,15.5,UxEx,13.95,-16.09,6.28,8.53,6.47
1003705004,54.3,PP,42.09,PSOE,23.02,VOX,17.63,UxEx,12.59,-14.59,6.57,5.72,7.18
1003705005,55.61,PP,31.64,PSOE,28.66,UxEx,17.01,VOX,15.52,-17.29,4.31,10.4,9.51
1003705006,55.62,PP,33.48,PSOE,29.44,VOX,16.18,UxEx,13.26,-14.76,4.97,6.74,07.02
1003706001,41.72,PP,42.7,PSOE,21.54,VOX,20.97,UxEx,8.99,-8.81,3.97,3.4,6.63
1003706002,47.92,PP,35.07,PSOE,24.81,VOX,23.48,UxEx,11.14,-16.39,8.47,3.97,8.62
1003706003,35.19,PSOE,41.7,VOX,24.44,PP,20.4,UxEx,8.74,-12.06,0.15,6.23,12.25
1003706004,53.74,PP,40.17,VOX,21.79,PSOE,19.02,UxEx,12.61,-10.68,5.18,5.1,6.25
1003706005,65.9,PP,45.32,VOX,19.04,PSOE,14.87,UxEx,14.26,-13.18,9.83,3.89,8.31
1003706006,60.9,PP,41.4,VOX,28.67,PSOE,13.44,UxEx,11.11,,,,
1003707001,67.3,PP,41.67,PSOE,28.74,VOX,16.67,UxEx,10.34,-17.34,-0.96,7.58,12.52
