RefCat,AnnoConstruccion
4659114PD7045H,1994
4659115PD7045H,1994
4659116PD7045H,1994
4659201PD7045H,no
4659301PD7045H,no
7044526PD7074C,1960
7044527PD7074C,1960
7044528PD7074C,1960
7044529PD7074C,1960
7044531PD7074C,1960
7245018PD7074E,1960
7542301PD7074D,no
7851204PD7075B,2010
6638607PC7963H,1995
8334453PD7083N,2000
4659113PD7045H,1994
7044525PD7074C,1960
4439506PD7043G,no
4246002PD7044E,no
4648703PD7044H,no
5441102PD7054A,no
5145501PD7054E,no
5443603PD7054C,no
5957101PD7055D,no
5837502PD7053H,no
5040001PD7054A,no
6349801PD7064G,no
4443201PD7044C,no
4545702PD7044F,no
4860001PD7046B,no
8047107PD7048F,no
4664501PD7046D,no
5664301PD7056F,no
5663426PD7056D,no
4938801PD7043H,no
4439505PD7043G,no
4545701PD7044F,no
4546007PD7044F,no
4659401PD7045H,no
5047004PD7054F,no
5450807PD7055A,no
5816001PD7051N,no
5643737PD7054D,no
4862301PD7046D,no
5140101PD7054A,no
5242001PD7054A,no
5565024PD7056D,no
5265502PD7056E,no
5266203PD7056E,no
5462302PD7056A,no
4345002PD7044F,no
5649808PD7054H,no
5045001PD7054E,no
8047104PD7048E,no
5646201PD7054F,no
5239303PD7053G,no
5448701PD7054G,no
5068007PD7056G,no
5759106PD7055H,no
4545705PD7044F,no
4258901PD7045N,no
5442225PD7054A,no
5147308PD7054E,no
5749807PD7054H,no
4966802PD7046F,no
5545407PD7054F,no
5645101PD7054F,no
5645203PD7054F,no
5442201PD7054C,no
5341402PD7054A,no
5661364PD7056B,no
5267303PD7056E,no
6154607PD7065C,no
6338301PD7063G,no
5663403PD7056D,no
4840101PD7044B,no
4843002PD7044D,no
5856622PD7055F,no
5741055PD7054B,no
5039601PD7053G,no
5643732PD7054D,no
5040501PD7054A,no
5041001PD7054A,no
5341401PD7054A,no
5074301PD7057S,no
5474301PD7057S,no
5067302PD7056E,no
4629101PD7042H,no
4439501PD7043G,no
4940201PD7044B,no
4743005PD7044D,no
5341403PD7054A,no
4976701PD7047N,no
5946702PD7054F,no
5643734PD7054D,no
5448704PD7054G,no
5663428PD7056D,no
4837101PD7043H,no
4743002PD7044D,no
4747001PD7044F,no
4648701PD7044H,no
5346105PD7054E,no
5941701PD7054B,no
4061603PD7046A,no
5443607PD7054C,no
5166601PD7056E,no
5160022PD7056A,no
5265501PD7056E,no
6252501PD7065A,no
7038401PD7073G,no
4439509PD7043G,no
4746707PD7044F,no
4648702PD7044H,no
4859001PD7045H,no
5856623PD7055F,no
5252601PD7055A,no
5252602PD7055A,no
5043406PD7054C,no
5043804PD7054C,no
4061605PD7046A,no
5450810PD7055A,no
5450811PD7055A,no
5242002PD7054A,no
6015103PD7061S,no
5663425PD7056D,no
5068009PD7056G,no
5066722PD7056E,no
5066736PD7056E,no
4643101PD7044D,no
4743003PD7044D,no
4847302PD7044F,no
5444304PD7054C,no
5239304PD7053G,no
5539701PD7053H,no
5163208PD7056C,no
6654602PD7065D,no
6438001PD7063G,no
4746701PD7044F,no
4746703PD7044F,no
4759001PD7045H,no
4968405PD7046H,no
5856232PD7055F,no
5548801PD7054H,no
5066737PD7056E,no
5266215PD7056E,no
6338001PD7063G,no
6338101PD7063G,no
4850401PD7045B,no
5145503PD7054E,no
5043803PD7054C,no
5450808PD7055A,no
5444305PD7054C,no
5539302PD7053H,no
5639403PD7053H,no
4863801PD7046D,no
5448702PD7054G,no
5449301PD7054G,no
5142601PD7054A,no
5465101PD7056E,no
5364801PD7056C,no
5663427PD7056D,no
5066801PD7056E,no
5167709PD7056E,no
5266201PD7056E,no
4938601PD7043H,no
4643001PD7044D,no
4843004PD7044D,no
4545707PD7044F,no
5957104PD7055D,no
5414001PD7051S,no
4963101PD7046D,no
5042701PD7054H,no
4061705PD7046E,no
5141301PD7054A,no
5944706PD7054D,no
5663401PD7056D,no
5564247PD7056D,no
5164015PD7056C,no
4546009PD7044F,no
4746705PD7044F,no
5948601PD7054H,no
5765003PD7046F,no
5043802PD7054C,no
5450812PD7055A,no
5550508PD7055B,no
5845604PD7054F,no
5540901PD7053H,no
5752201PD7055B,no
5744010PD7054D,no
5950505PD7055B,no
5241702PD7054A,no
5564244PD7056D,no
6349421PD7064G,no
6154606PD7065C,no
5440801PD7054A,no
8047108PD7048F,no
5047003PD7054F,no
5948604PD7054H,no
5450802PD7055A,no
5845105PD7054F,no
5039301PD7053G,no
5852811PD7055B,no
5141302PD7054A,no
5141601PD7054A,no
5944701PD7054D,no
5241701PD7054A,no
5465102PD7056E,no
5564204PD7056D,no
5571101PD7057B,no
6316402PD7061N,no
4938602PD7043H,no
5146301PD7054E,no
5545405PD7054F,no
4061606PD7046A,no
5465104PD7056E,no
6448453PD7064G,no
4246003PD7044E,no
4845401PD7044F,no
5044301PD7054C,no
5039801PD7053G,no
5950507PD7055B,no
6349431PD7064G,no
5951404PD7055B,no
5262016PD7056C,no
5240701PD7054A,no
6045007PD7064E,no
5047001PD7054H,no
5364601PD7056C,no
