RefCat,AnnoConstruccion,Direccion
1982711PD8118B,2010,BOTOA
7051102PD7075A,1958,FRAY ANTONIO GOMEZ
7051104PD7075A,1958,FRAY ANTONIO GOMEZ
7051103PD7075A,1958,FRAY ANTONIO GOMEZ
7051701PD7075A,1958,FRAY ANTONIO GOMEZ
7054806PD7075C,2000,SANTO CRISTO DE LA PAZ
1792214PD8119B,1984,BOTOA
8737401PD7083N,2003,DE LOS MONTITOS
5841210PD7054B,1991,ROTA
5841211PD7054B,1991,MANUEL MONTERREY CALVO
5841209PD7054B,1991,JACOBO RODRIGUEZ PEREIRA
5841212PD7054B,1991,MANUEL MONTERREY CALVO
5841214PD7054B,1991,ROTA
5841213PD7054B,1991,CARTAGENA
5856449PD7055F,2001,SANTO DOMINGO
7923005PD8172D,1956,AIRE (NOVELDA DEL GUADIAN
3089423PC8938N,2002,CAMPOFRIO I
8399901PC9889G,2007,DEHE CAL SECT E
1881501PC9918B,1971,FRESNO (ALVARADO)
1881502PC9918B,1971,FRESNO (ALVARADO)
1881503PC9918B,1971,FRESNO (ALVARADO)
1881504PC9918B,1971,FRESNO (ALVARADO)
1881505PC9918B,1971,FRESNO (ALVARADO)
1881506PC9918B,1971,PONIENTE (ALVARADO)
1881507PC9918B,1971,PONIENTE (ALVARADO)
1881508PC9918B,2002,PONIENTE (ALVARADO)
1980001PC9918B,1971,SAUCE (ALVARADO)
1980002PC9918B,1971,SAUCE (ALVARADO)
1980003PC9918B,1971,SAUCE (ALVARADO)
1980004PC9918B,1971,SAUCE (ALVARADO)
1980005PC9918B,1971,SAUCE (ALVARADO)
1980006PC9918B,1971,SAUCE (ALVARADO)
1980007PC9918B,1971,SAUCE (ALVARADO)
1980601PC9918B,1971,SUR (ALVARADO)
1980602PC9918B,2011,ACACIA (ALVARADO)
1980603PC9918B,1971,SUR (ALVARADO)
1980604PC9918B,1971,SUR (ALVARADO)
1980605PC9918B,1971,SUR (ALVARADO)
1980606PC9918B,1971,SUR (ALVARADO)
1980607PC9918B,1971,SUR (ALVARADO)
1981501PC9918B,1971,ROBLE (ALVARADO)
1981502PC9918B,1971,ROBLE (ALVARADO)
1981503PC9918B,1971,SAUCE (ALVARADO)
1981504PC9918B,1971,SAUCE (ALVARADO)
1981505PC9918B,1971,SAUCE (ALVARADO)
1981506PC9918B,1971,SAUCE (ALVARADO)
1981507PC9918B,1971,SAUCE (ALVARADO)
1981508PC9918B,1971,SAUCE (ALVARADO)
1982101PC9918B,1971,OLMO (ALVARADO)
1982102PC9918B,1971,OLMO (ALVARADO)
1982103PC9918B,1971,OLMO (ALVARADO)
1982104PC9918B,1971,OLMO (ALVARADO)
1982105PC9918B,1971,OLMO (ALVARADO)
1982106PC9918B,1971,OLMO (ALVARADO)
1982107PC9918B,1971,OLMO (ALVARADO)
1982501PC9918B,1971,PINO (ALVARADO)
2986503PC8928F,1982,CAMPOFRIO II
2986504PC8928F,1983,CAMPOFRIO II
2589904PC8928H,1983,CAMPOFRIO I
2688102PC8928H,1982,CAMPOFRIO I
2688103PC8928H,1980,CAMPOFRIO I
2589903PC8928H,1983,CAMPOFRIO I
2688104PC8928H,1999,CAMPOFRIO I
2688105PC8928H,1999,CAMPOFRIO I
2688106PC8928H,1996,CAMPOFRIO I
2688107PC8928H,1980,CAMPOFRIO I
2688108PC8928H,1998,CAMPOFRIO I
2688109PC8928H,1999,CAMPOFRIO
2688110PC8928H,0,CAMPOFRIO I
2891401PC8929B,1991,CAMPOFRIO
2891402PC8929B,1979,CAMPOFRIO I
2891403PC8929B,1982,CAMPOFRIO I
2891404PC8929B,1984,CAMPOFRIO I
2891405PC8929B,1982,CAMPOFRIO I
2891406PC8929B,1982,CAMPOFRIO I
3187201PC8938G,2007,CAMPOFRIO II
3187202PC8938G,2004,CAMPOFRIO II
3187203PC8938G,1986,CAMPOFRIO II
3187204PC8938G,1982,CAMPOFRIO II
3187207PC8938G,1982,CAMPOFRIO II
3187215PC8938G,1988,CAMPOFRIO II
3287501PC8938G,1984,CAMPOFRIO II
3287502PC8938G,2006,CAMPOFRIO II
3287507PC8938G,1982,CAMPOFRIO II
3287508PC8938G,1986,CAMPOFRIO II
3287509PC8938G,1984,CAMPOFRIO II
3287510PC8938G,1978,CAMPOFRIO II
3287511PC8938G,1982,CAMPOFRIO II
3287512PC8938G,1999,CAMPOFRIO II
3287513PC8938G,1982,CAMPOFRIO II
3287503PC8938G,1984,CAMPOFRIO II
3287516PC8938G,2002,CAMPOFRIO II
3287519PC8938G,1982,CAMPOFRIO II
3089401PC8938N,1995,CAMPOFRIO I
3089402PC8938N,1982,CAMPOFRIO I
3089403PC8938N,1982,CAMPOFRIO I
3089406PC8938N,1983,CAMPOFRIO I
3089409PC8938N,1980,CAMPOFRIO I
3089410PC8938N,2002,CAMPOFRIO I
3089411PC8938N,1983,CAMPOFRIO I
3089413PC8938N,1992,CAMPOFRIO I
3089414PC8938N,1982,CAMPOFRIO I
3089415PC8938N,1982,CAMPOFRIO I
3089416PC8938N,1982,CAMPOFRIO I
3089417PC8938N,1984,CAMPOFRIO I
3089418PC8938N,1984,CAMPOFRIO I
3089419PC8938N,1978,CAMPOFRIO I
3967007PD7036H,0,FEDERICO MAYOR ZARAGOZA
3967012PD7036H,2011,FEDERICO MAYOR ZARAGOZA
1982502PC9918B,1971,PINO (ALVARADO)
1982503PC9918B,1971,PINO (ALVARADO)
1982504PC9918B,1971,PINO (ALVARADO)
1982505PC9918B,1971,PINO (ALVARADO)
1982506PC9918B,1971,PINO (ALVARADO)
1982507PC9918B,1971,FRESNO (ALVARADO)
1982701PC9918B,1971,PONIENTE (ALVARADO)
1982702PC9918B,1971,PONIENTE (ALVARADO)
1982703PC9918B,1971,PONIENTE (ALVARADO)
1982704PC9918B,1971,PONIENTE (ALVARADO)
1982705PC9918B,1971,PONIENTE (ALVARADO)
1982706PC9918B,1971,PONIENTE (ALVARADO)
1982707PC9918B,1990,FRESNO (ALVARADO)
1982401PC9918D,1988,OLMO (ALVARADO)
1982402PC9918D,1998,OLMO (ALVARADO)
1982403PC9918D,1998,OLMO (ALVARADO)
1600605PD7010B,1994,CORAZON DE JESUS
1600606PD7010B,1992,CORAZON DE JESUS
1600607PD7010B,1992,CORAZON DE JESUS
1600608PD7010B,1967,CORAZON DE JESUS
1600609PD7010B,1987,CORAZON DE JESUS
1600610PD7010B,1964,CORAZON DE JESUS
1600611PD7010B,1968,CORAZON DE JESUS
1600612PD7010B,1960,CORAZON DE JESUS
1600613PD7010B,2001,CORAZON DE JESUS
1600614PD7010B,1969,CORAZON DE JESUS
1600615PD7010B,1960,CORAZON DE JESUS
1700301PD7010B,1975,CORAZON DE JESUS
1700302PD7010B,1997,CORAZON DE JESUS
1700303PD7010B,1988,CORAZON DE JESUS
1700304PD7010B,1992,CORAZON DE JESUS
1700305PD7010B,1960,CORAZON DE JESUS
1700306PD7010B,1998,CORAZON DE JESUS
1700307PD7010B,1961,CORAZON DE JESUS
3939608PD7033H,2000,AVILA
3939609PD7033H,2000,AVILA
3939610PD7033H,2000,AVILA
3939611PD7033H,2000,AVILA
3939612PD7033H,2000,AVILA
3939613PD7033H,2000,AVILA
3939614PD7033H,2000,VENECIA
3939615PD7033H,2000,VENECIA
3939616PD7033H,2000,VENECIA
3939617PD7033H,2000,VENECIA
3939618PD7033H,2000,VENECIA
3939619PD7033H,2000,VENECIA
1982404PC9918D,1998,OLMO (ALVARADO)
1982405PC9918D,2002,OLMO (ALVARADO)
1982406PC9918D,2002,OLMO (ALVARADO)
1982407PC9918D,2002,OLMO (ALVARADO)
1982408PC9918D,2002,OLMO (ALVARADO)
1982409PC9918D,0,OLMO (ALVARADO)
1983801PC9918D,1991,PALMERAS LAS (ALVARADO)
1983802PC9918D,1988,PALMERAS LAS (ALVARADO)
1983803PC9918D,1988,PALMERAS LAS (ALVARADO)
1983804PC9918D,1988,PALMERAS LAS (ALVARADO)
1983805PC9918D,1988,PALMERAS LAS (ALVARADO)
1983806PC9918D,0,PALMERAS LAS (ALVARADO)
2082206PC9918D,1988,OLMO (ALVARADO)
2079101PC9927G,1971,MAYOR (ALVARADO)
2079102PC9927G,1971,MAYOR (ALVARADO)
2079103PC9927G,0,SALIENTE (ALVARADO)
2080201PC9928A,1971,MAYOR (ALVARADO)
